customer_id,type_of_client,total_ytd_order,total_quantity,avg_quantity,total_order_amount_ytd,avg_total_order_amount_ytd,completed_years_of_education,education_over_age,loyalty,YTD_amount_negative,total_order_amount_Q1,total_order_amount_Q2,total_order_amount_Q3,total_order_amount_Q4,Q4_amount_negative,sex,marital_status,employment_type,occupation,country_of_origins,age,education,completed_years_of_education,marital_status,relationship_in_household,race
13333024,NULL,15,338,22.5333,187.81,12.520667,10,3.7500,0,1,187.81,0.00,0.00,0.00,1,0,0,Private,Other-service,United-States,40,Some-college,10,Divorced,Not-in-family,White
13804677,NULL,116,142,1.2241,526.43,4.538190,9,19.3372,24,1,217.29,0.00,0.00,309.14,1,1,1,Private,Exec-managerial,United-States,54,HS-grad,9,Married-civ-spouse,Husband,White
15021904,NULL,42,173,4.1190,542.51,12.916905,11,15.9306,11,1,0.00,261.05,223.56,57.90,1,1,0,Private,Handlers-cleaners,United-States,29,Assoc-voc,11,Divorced,Unmarried,White
16082288,NULL,25,88,3.5200,367.43,14.697200,9,4.2450,0,1,0.00,367.43,0.00,0.00,1,1,1,Private,Craft-repair,United-States,53,HS-grad,9,Married-civ-spouse,Husband,White
17747594,NULL,21,108,5.1429,244.25,11.630952,9,10.5000,0,1,0.00,0.00,244.25,0.00,1,1,0,Private,Adm-clerical,United-States,18,HS-grad,9,Never-married,Own-child,White
17945485,NULL,43,133,3.0930,368.63,8.572791,13,19.9649,0,1,0.00,0.00,368.63,0.00,1,1,0,Private,Craft-repair,United-States,28,Bachelors,13,Never-married,Own-child,White
17974102,NULL,9,19,2.1111,89.14,9.904444,9,2.7000,24,1,84.35,0.00,0.00,4.79,1,1,1,Private,Transport-moving,United-States,30,HS-grad,9,Married-civ-spouse,Husband,White
19072398,NULL,14,66,4.7143,117.02,8.358571,14,4.1706,9,1,117.02,0.00,0.00,0.00,1,0,0,Private,Machine-op-inspct,India,47,Masters,14,Separated,Unmarried,Asian-Pac-Islander
19143633,NULL,3,6,2.0000,4.70,1.566667,10,1.4286,0,1,4.70,0.00,0.00,0.00,1,0,0,Private,Prof-specialty,United-States,21,Some-college,10,Never-married,Own-child,White
19787478,NULL,59,184,3.1186,342.61,5.806949,8,26.2196,0,1,0.00,0.00,0.00,342.61,1,0,0,Private,Sales,United-States,18,12th,8,Never-married,Own-child,White
19817200,Wholesaler,19,58,3.0526,139.31,7.332105,9,3.4200,0,1,0.00,0.00,139.31,0.00,1,1,1,State-gov,Transport-moving,Puerto-Rico,50,HS-grad,9,Married-civ-spouse,Husband,White
19822086,NULL,53,159,3.0000,508.34,9.591321,10,14.3259,0,1,0.00,0.00,508.34,0.00,1,1,1,Private,Craft-repair,United-States,37,Some-college,10,Married-civ-spouse,Husband,White
20570589,NULL,223,468,2.0987,1138.68,5.106188,8,68.6171,23,1,466.31,138.38,0.00,533.99,1,1,0,Private,Other-service,United-States,26,12th,8,Never-married,Other-relative,White
23950497,NULL,16,26,1.6250,71.80,4.487500,8,5.3328,9,1,0.00,0.00,0.00,71.80,1,1,0,Private,Craft-repair,United-States,24,12th,8,Never-married,Other-relative,White
25668575,Wholesaler,115,345,3.0000,957.64,8.327304,14,28.2440,27,1,99.20,0.00,724.22,134.22,1,1,0,Self-emp-not-inc,Farming-fishing,United-States,57,Masters,14,Never-married,Not-in-family,White
26991981,NULL,64,196,3.0625,255.59,3.993594,9,11.2960,23,1,0.00,0.00,255.59,0.00,1,1,1,Private,Machine-op-inspct,United-States,51,HS-grad,9,Married-civ-spouse,Husband,Black
27845518,NULL,19,14400,757.8947,5760.00,303.157895,10,5.1357,13,1,0.00,2016.00,2304.00,1440.00,1,1,1,Self-emp-not-inc,Exec-managerial,United-States,37,Some-college,10,Married-civ-spouse,Husband,White
28290216,NULL,1,-1,-1.0000,-8.25,-8.250000,7,0.2692,0,0,0.00,-8.25,0.00,0.00,1,1,1,Private,Machine-op-inspct,United-States,26,11th,7,Married-civ-spouse,Husband,White
29609579,NULL,55,88,1.6000,259.69,4.721636,9,20.6250,0,1,0.00,0.00,0.00,259.69,1,1,0,Private,Other-service,Guatemala,24,HS-grad,9,Never-married,Not-in-family,White
29689567,Wholesaler,168,639,3.8036,1887.92,11.237619,10,31.7016,27,1,559.49,442.20,484.14,402.09,1,1,1,Private,Transport-moving,United-States,53,Some-college,10,Married-civ-spouse,Husband,White
30897587,NULL,4,164,41.0000,308.34,77.085000,12,1.4116,0,1,0.00,0.00,0.00,308.34,1,0,0,Private,Adm-clerical,United-States,34,Assoc-acdm,12,Divorced,Own-child,White
31874331,Wholesaler,49,129,2.6327,303.85,6.201020,2,3.0625,1,1,0.00,0.00,0.00,303.85,1,1,1,Private,Prof-specialty,United-States,32,1st-4th,2,Married-civ-spouse,Husband,White
32036330,NULL,52,125,2.4038,325.96,6.268462,15,26.0000,9,1,0.00,0.00,174.88,151.08,1,1,0,Self-emp-not-inc,Prof-specialty,United-States,30,Prof-school,15,Divorced,Not-in-family,White
32504895,NULL,27,59,2.1852,110.22,4.082222,9,10.5651,0,1,0.00,0.00,0.00,110.22,1,1,0,Private,Craft-repair,United-States,23,HS-grad,9,Never-married,Own-child,White
35070547,NULL,31,91,2.9355,208.22,6.716774,10,6.7394,19,1,102.00,106.22,0.00,0.00,1,0,0,Private,Exec-managerial,United-States,46,Some-college,10,Divorced,Not-in-family,White
35334250,Wholesaler,25,109,4.3600,349.99,13.999600,10,5.3200,5,1,182.85,167.14,0.00,0.00,1,0,0,Private,Exec-managerial,United-States,47,Some-college,10,Divorced,Unmarried,White
36112459,NULL,52,8234,158.3462,4494.00,86.423077,11,13.6188,29,1,1106.03,766.45,1307.76,1313.76,1,1,1,Private,Machine-op-inspct,United-States,42,Assoc-voc,11,Married-civ-spouse,Husband,White
36445262,NULL,22,46,2.0909,222.54,10.115455,9,8.2500,6,1,0.00,222.54,0.00,0.00,1,1,0,Private,Adm-clerical,Jamaica,24,HS-grad,9,Never-married,Other-relative,Black
36632502,NULL,13,422,32.4615,164.44,12.649231,15,3.1967,0,1,0.00,0.00,0.00,164.44,1,1,1,Private,Prof-specialty,Germany,61,Prof-school,15,Married-civ-spouse,Husband,White
37464439,Wholesaler,73,164,2.2466,616.97,8.451644,9,27.3750,20,1,77.20,262.54,0.00,277.23,1,1,0,Self-emp-not-inc,Craft-repair,United-States,24,HS-grad,9,Divorced,Not-in-family,White
38888671,Wholesaler,108,736,6.8148,1323.34,12.253148,13,34.2468,1,1,0.00,0.00,778.59,544.75,1,1,1,Private,Sales,United-States,41,Bachelors,13,Married-civ-spouse,Husband,White
41174557,NULL,113,386,3.4159,464.06,4.106726,5,9.9101,19,1,134.54,94.13,104.51,130.88,1,1,0,Private,Prof-specialty,United-States,57,9th,5,Divorced,Not-in-family,White
41180544,NULL,49,98,2.0000,96.55,1.970408,9,7.3500,0,1,0.00,0.00,96.55,0.00,1,1,1,Self-emp-not-inc,Farming-fishing,United-States,60,HS-grad,9,Married-civ-spouse,Husband,White
42803327,NULL,5,16,3.2000,40.50,8.100000,10,2.0835,0,1,0.00,0.00,40.50,0.00,1,0,0,Private,Sales,United-States,24,Some-college,10,Never-married,Not-in-family,White
43042539,NULL,87,456,5.2414,946.36,10.877701,14,25.3779,16,1,0.00,138.45,364.00,443.91,1,1,1,Private,Tech-support,United-States,48,Masters,14,Married-civ-spouse,Husband,White
44218068,NULL,109,337,3.0917,1105.62,10.143303,10,49.5405,26,1,30.95,0.00,840.92,233.75,1,0,0,Private,Other-service,United-States,22,Some-college,10,Never-married,Own-child,White
44223741,Wholesaler,68,179,2.6324,509.08,7.486471,12,16.0004,0,1,0.00,0.00,0.00,509.08,1,1,0,Private,Tech-support,United-States,51,Assoc-acdm,12,Divorced,Not-in-family,White
44351160,NULL,17,36,2.1176,187.44,11.025882,13,9.2089,0,1,0.00,0.00,0.00,187.44,1,1,0,Local-gov,Prof-specialty,United-States,24,Bachelors,13,Never-married,Not-in-family,White
46513836,NULL,23,1523,66.2174,2352.59,102.286522,10,10.0004,22,1,70.22,1115.92,1125.85,40.60,1,0,0,Private,Prof-specialty,United-States,23,Some-college,10,Never-married,Not-in-family,Asian-Pac-Islander
47358834,NULL,37,228,6.1622,531.30,14.359459,10,16.0876,15,1,293.70,-7.50,-9.90,255.00,1,1,0,Private,Adm-clerical,United-States,23,Some-college,10,Never-married,Not-in-family,White
47705400,NULL,49,193,3.9388,481.77,9.832041,10,24.5000,19,1,0.00,106.00,281.65,94.12,1,0,0,Private,Prof-specialty,United-States,20,Some-college,10,Never-married,Own-child,White
50368625,NULL,14,48,3.4286,62.10,4.435714,4,2.6670,8,1,15.35,0.00,46.75,0.00,1,0,0,Private,Machine-op-inspct,United-States,21,7th-8th,4,Never-married,Own-child,White
52356997,NULL,3,10,3.3333,56.30,18.766667,10,0.6978,0,1,0.00,0.00,0.00,56.30,1,1,0,Private,Machine-op-inspct,United-States,43,Some-college,10,Divorced,Not-in-family,White
53734098,Wholesaler,255,618,2.4235,1249.95,4.901765,3,15.3000,20,1,0.00,0.00,109.34,1140.61,1,1,1,Private,Other-service,Greece,50,5th-6th,3,Married-civ-spouse,Husband,White
54214934,NULL,16,27,1.6875,86.13,5.383125,9,4.9648,0,1,86.13,0.00,0.00,0.00,1,1,0,Private,Other-service,United-States,29,HS-grad,9,Never-married,Not-in-family,White
54527112,Wholesaler,27,50,1.8519,87.91,3.255926,10,8.7102,0,1,0.00,0.00,0.00,87.91,1,1,1,Private,Adm-clerical,India,31,Some-college,10,Married-civ-spouse,Husband,Asian-Pac-Islander
55058579,NULL,17,32,1.8824,103.12,6.065882,14,8.5000,6,1,40.34,-23.80,86.58,0.00,1,0,0,Private,Exec-managerial,United-States,28,Masters,14,Never-married,Not-in-family,Black
56679789,NULL,7,143,20.4286,132.21,18.887143,10,1.5218,13,1,13.79,0.00,118.42,0.00,1,1,1,Private,Transport-moving,United-States,46,Some-college,10,Married-civ-spouse,Husband,White
58019377,NULL,17,828,48.7059,1047.68,61.628235,3,0.9265,23,1,0.00,937.00,579.00,-468.32,0,1,1,Private,Craft-repair,United-States,55,5th-6th,3,Married-civ-spouse,Husband,White
58073858,NULL,39,11,0.2821,107.31,2.751538,7,5.9358,13,1,-24.77,132.08,0.00,0.00,1,0,0,Private,Prof-specialty,United-States,46,11th,7,Widowed,Unmarried,Black
58427119,NULL,59,221,3.7458,483.49,8.194746,4,4.0002,23,1,59.65,232.86,190.98,0.00,1,1,1,Private,Craft-repair,United-States,59,7th-8th,4,Married-civ-spouse,Husband,White
59631086,Wholesaler,55,252,4.5818,513.67,9.339455,9,7.6175,16,1,299.43,0.00,0.00,214.24,1,1,1,Self-emp-inc,Exec-managerial,United-States,65,HS-grad,9,Married-civ-spouse,Husband,White
61715869,NULL,11,46,4.1818,180.89,16.444545,13,5.7200,0,1,180.89,0.00,0.00,0.00,1,1,0,State-gov,Exec-managerial,United-States,25,Bachelors,13,Never-married,Not-in-family,White
61984219,NULL,27,97,3.5926,256.11,9.485556,9,6.9417,0,1,0.00,0.00,0.00,256.11,1,1,0,Private,Other-service,United-States,35,HS-grad,9,Widowed,Unmarried,Black
62613161,NULL,6135,13035,2.1247,26472.91,4.315063,9,1452.7680,30,1,2513.75,3653.42,8148.94,12156.80,1,1,1,Private,Craft-repair,United-States,38,HS-grad,9,Married-civ-spouse,Husband,Black
63732459,NULL,7,10,1.4286,20.67,2.952857,7,0.9611,0,1,0.00,20.67,0.00,0.00,1,1,1,Private,Machine-op-inspct,United-States,51,11th,7,Married-civ-spouse,Husband,White
64281137,NULL,91,444,4.8791,748.55,8.225824,9,16.0615,9,1,130.29,432.73,110.37,75.16,1,0,0,Private,Prof-specialty,United-States,51,HS-grad,9,Widowed,Unmarried,Black
65299243,Wholesaler,21,71,3.3810,119.43,5.687143,10,4.4688,0,1,0.00,0.00,0.00,119.43,1,0,0,Local-gov,Prof-specialty,United-States,47,Some-college,10,Divorced,Not-in-family,White
65892563,NULL,34,117,3.4412,571.35,16.804412,7,4.4914,25,1,250.00,345.20,0.00,-23.85,0,0,0,Self-emp-inc,Exec-managerial,United-States,53,11th,7,Widowed,Not-in-family,White
66523275,NULL,86,24581,285.8256,34722.41,403.748953,10,37.3928,28,1,1702.65,1498.15,23262.08,8259.53,1,1,1,Private,Craft-repair,United-States,23,Some-college,10,Married-civ-spouse,Husband,White
68321512,NULL,82,339,4.1341,1042.88,12.718049,3,9.4628,20,1,563.15,0.00,479.73,0.00,1,1,1,Private,Machine-op-inspct,Mexico,26,5th-6th,3,Married-civ-spouse,Husband,Other
68714018,NULL,8,27,3.3750,10.29,1.286250,13,4.0000,0,1,0.00,0.00,10.29,0.00,1,0,1,Private,Prof-specialty,United-States,26,Bachelors,13,Married-civ-spouse,Wife,White
69148072,NULL,40,129,3.2250,390.31,9.757750,14,8.8880,16,1,224.90,165.41,0.00,0.00,1,1,1,Private,Handlers-cleaners,United-States,63,Masters,14,Married-civ-spouse,Husband,White
70220578,NULL,93,17145,184.3548,10359.98,111.397634,9,20.9250,30,1,49.01,4270.65,2589.07,3451.25,1,1,1,Self-emp-not-inc,Other-service,United-States,40,HS-grad,9,Married-civ-spouse,Husband,White
70657131,Wholesaler,15,52,3.4667,244.88,16.325333,13,4.5345,3,1,0.00,0.00,109.28,135.60,1,1,1,Self-emp-inc,Sales,India,43,Bachelors,13,Married-civ-spouse,Other-relative,Asian-Pac-Islander
73570126,NULL,65,241,3.7077,733.42,11.283385,9,10.6340,14,1,0.00,0.00,512.02,221.40,1,0,0,Self-emp-not-inc,Other-service,United-States,55,HS-grad,9,Divorced,Other-relative,White
73607302,NULL,178,408,2.2921,1553.38,8.726854,9,38.1454,22,1,394.07,410.47,295.00,453.84,1,1,1,Private,Craft-repair,United-States,42,HS-grad,9,Married-civ-spouse,Husband,White
74790389,NULL,43,247,5.7442,469.30,10.913953,10,7.4132,16,1,67.05,264.90,137.35,0.00,1,1,0,Private,Handlers-cleaners,United-States,58,Some-college,10,Never-married,Own-child,Black
77070999,NULL,40,124,3.1000,205.46,5.136500,9,9.2320,0,1,0.00,0.00,205.46,0.00,1,0,0,State-gov,Other-service,United-States,39,HS-grad,9,Never-married,Unmarried,Black
77253664,NULL,5,11,2.2000,84.30,16.860000,9,1.1540,0,1,84.30,0.00,0.00,0.00,1,1,1,Private,Prof-specialty,United-States,39,HS-grad,9,Married-civ-spouse,Husband,White
78174667,NULL,219,1073,4.8995,2350.09,10.731005,4,13.2714,0,1,0.00,0.00,2350.09,0.00,1,1,1,Self-emp-not-inc,Farming-fishing,United-States,66,7th-8th,4,Married-civ-spouse,Husband,White
79450243,Wholesaler,17,45,2.6471,125.22,7.365882,10,3.6176,0,1,0.00,0.00,0.00,125.22,1,0,0,Private,Machine-op-inspct,United-States,47,Some-college,10,Divorced,Not-in-family,White
80589534,NULL,3,103,34.3333,160.95,53.650000,9,0.5511,0,1,0.00,0.00,0.00,160.95,1,1,1,Private,Machine-op-inspct,United-States,49,HS-grad,9,Married-civ-spouse,Husband,White
81690158,Wholesaler,477,1676,3.5136,3980.45,8.344759,13,100.0269,27,1,708.93,1038.27,485.15,1748.10,1,1,1,Private,Sales,United-States,62,Bachelors,13,Married-civ-spouse,Husband,White
81731847,NULL,22,106,4.8182,274.90,12.495455,3,2.7500,6,1,0.00,122.30,100.60,52.00,1,1,0,Private,Farming-fishing,Mexico,24,5th-6th,3,Never-married,Other-relative,Black
82321748,NULL,8,30,3.7500,77.14,9.642500,9,2.1816,0,1,0.00,0.00,0.00,77.14,1,1,0,Private,Machine-op-inspct,United-States,33,HS-grad,9,Divorced,Not-in-family,White
83266444,NULL,71,125,1.7606,264.70,3.728169,12,25.8156,0,1,0.00,0.00,0.00,264.70,1,0,0,Private,Adm-clerical,United-States,33,Assoc-acdm,12,Never-married,Not-in-family,White
83884165,NULL,49,170,3.4694,502.55,10.256122,9,17.6400,26,1,135.40,168.75,0.00,198.40,1,1,0,Private,Transport-moving,Mexico,25,HS-grad,9,Never-married,Unmarried,White
85187559,NULL,167,853,5.1078,2210.15,13.234431,9,45.5409,27,1,0.00,499.73,837.52,872.90,1,1,0,Local-gov,Craft-repair,United-States,33,HS-grad,9,Divorced,Unmarried,White
86476415,NULL,253,831,3.2846,2190.50,8.658103,12,59.5309,24,1,0.00,706.76,0.00,1483.74,1,1,0,Self-emp-not-inc,Sales,United-States,51,Assoc-acdm,12,Separated,Not-in-family,Black
87663360,Personal,33,117,3.5455,346.30,10.493939,13,11.5962,12,1,169.42,176.88,0.00,0.00,1,0,0,Private,Exec-managerial,United-States,37,Bachelors,13,Divorced,Not-in-family,White
89677115,Wholesaler,191,717,3.7539,1559.73,8.166126,11,60.0313,27,1,608.64,112.19,392.90,446.00,1,1,0,Private,Tech-support,United-States,35,Assoc-voc,11,Divorced,Own-child,White
91418617,NULL,255,616,2.4157,1625.22,6.373412,13,73.6695,24,1,0.00,1011.60,142.17,471.45,1,1,0,Private,Craft-repair,United-States,45,Bachelors,13,Never-married,Not-in-family,White
93023114,Wholesaler,144,471,3.2708,1247.61,8.663958,9,23.1408,18,1,0.00,256.91,478.83,511.87,1,1,1,Federal-gov,Exec-managerial,United-States,56,HS-grad,9,Married-civ-spouse,Husband,White
95570812,Wholesaler,139,317,2.2806,543.74,3.911799,13,51.6246,19,1,0.00,0.00,0.00,543.74,1,0,1,Private,Prof-specialty,United-States,35,Bachelors,13,Married-spouse-absent,Not-in-family,White
96823716,NULL,239,1506,6.3013,1946.35,8.143724,1,4.4215,21,1,979.16,0.00,-1778.68,2745.87,1,1,1,Private,Craft-repair,China,54,Preschool,1,Married-civ-spouse,Husband,Asian-Pac-Islander
100069779,NULL,7,21,3.0000,89.05,12.721429,10,2.4997,0,1,89.05,0.00,0.00,0.00,1,1,0,Private,Other-service,United-States,28,Some-college,10,Never-married,Own-child,White
103107242,NULL,5,14,2.8000,67.30,13.460000,9,0.7260,0,1,67.30,0.00,0.00,0.00,1,1,1,Private,Exec-managerial,United-States,62,HS-grad,9,Married-civ-spouse,Husband,White
104534483,Personal,4,2,0.5000,2.90,0.725000,16,1.2800,9,1,0.00,2.90,0.00,0.00,1,1,1,Self-emp-not-inc,Prof-specialty,United-States,50,Doctorate,16,Married-civ-spouse,Husband,White
105208252,NULL,191,509,2.6649,911.86,4.774136,9,66.1242,14,1,223.94,299.22,235.96,152.74,1,1,0,Self-emp-not-inc,Farming-fishing,United-States,26,HS-grad,9,Never-married,Own-child,White
108333271,NULL,5,-23,-4.6000,-102.45,-20.490000,9,1.0975,0,0,0.00,0.00,0.00,-102.45,0,1,0,Private,Machine-op-inspct,United-States,41,HS-grad,9,Separated,Unmarried,White
109717642,NULL,84,310,3.6905,1477.73,17.592024,10,24.7044,4,1,1222.20,0.00,0.00,255.53,1,0,0,Private,Prof-specialty,United-States,34,Some-college,10,Divorced,Unmarried,White
110971028,NULL,3,16,5.3333,157.20,52.400000,10,0.5001,0,1,0.00,157.20,0.00,0.00,1,1,1,Private,Craft-repair,United-States,60,Some-college,10,Married-civ-spouse,Husband,White
113967942,Wholesaler,135,287,2.1259,606.62,4.493481,11,59.4000,17,1,0.00,77.75,0.00,528.87,1,0,0,Private,Other-service,United-States,25,Assoc-voc,11,Never-married,Unmarried,Amer-Indian-Eskimo
114243992,NULL,8,12,1.5000,195.30,24.412500,10,2.3528,2,1,195.30,0.00,0.00,0.00,1,1,1,Private,Handlers-cleaners,United-States,34,Some-college,10,Married-civ-spouse,Husband,White
115110551,NULL,63,200,3.1746,407.05,6.461111,10,9.8469,17,1,152.54,0.00,254.51,0.00,1,0,0,Self-emp-not-inc,Prof-specialty,United-States,64,Some-college,10,Never-married,Not-in-family,White
115953798,NULL,6,25,4.1667,78.15,13.025000,10,2.6088,0,1,0.00,0.00,0.00,78.15,1,1,0,Private,Sales,United-States,23,Some-college,10,Never-married,Not-in-family,White
116005224,NULL,37,51,1.3784,185.42,5.011351,10,9.4868,0,1,185.42,0.00,0.00,0.00,1,0,1,Private,Sales,United-States,39,Some-college,10,Married-civ-spouse,Wife,White
116365079,NULL,145,387,2.6690,876.31,6.043517,10,63.0460,17,1,0.00,0.00,0.00,876.31,1,0,0,Private,Protective-serv,United-States,23,Some-college,10,Never-married,Own-child,Black
117284334,Wholesaler,52,117,2.2500,273.87,5.266731,10,12.0952,3,1,0.00,0.00,161.99,111.88,1,1,0,State-gov,Exec-managerial,United-States,43,Some-college,10,Divorced,Unmarried,White
119280524,NULL,10,31,3.1000,115.34,11.534000,10,4.1670,0,1,0.00,0.00,0.00,115.34,1,0,0,Private,Sales,United-States,24,Some-college,10,Never-married,Own-child,White
119404256,NULL,1,4,4.0000,34.00,34.000000,9,0.2727,0,1,34.00,0.00,0.00,0.00,1,1,0,Private,Machine-op-inspct,United-States,33,HS-grad,9,Never-married,Unmarried,White
122332583,NULL,42,116,2.7619,325.88,7.759048,6,4.7544,0,1,0.00,0.00,325.88,0.00,1,1,1,Private,Handlers-cleaners,United-States,53,10th,6,Married-civ-spouse,Husband,White
123858366,NULL,1,-1,-1.0000,-16.95,-16.950000,6,0.2308,0,0,0.00,-16.95,0.00,0.00,1,0,1,Private,Other-service,United-States,26,10th,6,Married-civ-spouse,Wife,White
123902728,NULL,15,70,4.6667,470.00,31.333333,13,3.1455,0,1,0.00,0.00,0.00,470.00,1,0,0,Private,Prof-specialty,United-States,62,Bachelors,13,Never-married,Not-in-family,White
125853946,NULL,115,423,3.6783,950.34,8.263826,12,31.3605,13,1,359.45,280.14,310.75,0.00,1,0,1,Federal-gov,Prof-specialty,United-States,44,Assoc-acdm,12,Married-civ-spouse,Wife,Black
127597586,NULL,4,19,4.7500,54.17,13.542500,10,0.8000,0,1,0.00,0.00,0.00,54.17,1,1,1,Private,Craft-repair,United-States,50,Some-college,10,Married-civ-spouse,Husband,Black
130450135,NULL,111,242,2.1802,496.85,4.476126,13,43.7229,7,1,0.00,219.77,0.00,277.08,1,0,0,Private,Prof-specialty,United-States,33,Bachelors,13,Never-married,Not-in-family,White
131650051,NULL,155,452,2.9161,1561.48,10.074065,9,27.9000,14,1,677.75,352.83,530.90,0.00,1,1,1,Local-gov,Other-service,United-States,50,HS-grad,9,Married-civ-spouse,Husband,Black
132961920,NULL,12,25,2.0833,24.33,2.027500,13,3.5460,19,1,0.00,0.00,0.00,24.33,1,1,1,Private,Exec-managerial,United-States,44,Bachelors,13,Married-civ-spouse,Husband,White
133396167,Personal,4,12,3.0000,59.40,14.850000,13,1.2380,28,1,0.00,0.00,9.90,49.50,1,0,0,Private,Prof-specialty,England,42,Bachelors,13,Never-married,Own-child,White
135505320,NULL,15,37,2.4667,88.31,5.887333,9,2.5005,23,1,0.00,0.00,0.00,88.31,1,0,0,Private,Sales,United-States,54,HS-grad,9,Divorced,Not-in-family,White
138239666,NULL,38,136,3.5789,358.38,9.431053,9,7.4366,0,1,0.00,358.38,0.00,0.00,1,1,1,Private,Machine-op-inspct,United-States,46,HS-grad,9,Married-civ-spouse,Husband,White
142757893,NULL,9,12,1.3333,39.24,4.360000,9,2.1888,0,1,0.00,0.00,39.24,0.00,1,0,1,Private,Adm-clerical,United-States,37,HS-grad,9,Married-civ-spouse,Wife,White
143260775,Wholesaler,21,63,3.0000,249.80,11.895238,10,5.3844,0,1,0.00,0.00,0.00,249.80,1,0,0,Private,Exec-managerial,United-States,39,Some-college,10,Never-married,Own-child,White
143479181,Wholesaler,63,155,2.4603,423.15,6.716667,13,21.5523,23,1,0.00,163.61,0.00,259.54,1,1,1,Private,Sales,United-States,38,Bachelors,13,Married-civ-spouse,Husband,White
143997197,NULL,274,1301,4.7482,2258.46,8.242555,9,72.5278,30,1,392.92,610.36,647.03,608.15,1,1,1,Private,Other-service,United-States,34,HS-grad,9,Married-civ-spouse,Husband,White
145809630,NULL,20,52,2.6000,199.47,9.973500,13,7.8780,14,1,0.00,0.00,199.47,0.00,1,0,1,Self-emp-not-inc,Prof-specialty,United-States,33,Bachelors,13,Married-civ-spouse,Wife,White
146372868,NULL,117,381,3.2564,1284.36,10.977436,6,30.5253,17,1,0.00,762.62,521.74,0.00,1,1,0,Private,Transport-moving,United-States,23,10th,6,Never-married,Own-child,Asian-Pac-Islander
148827881,NULL,114,256,2.2456,535.50,4.697368,9,21.8310,27,1,402.18,0.00,133.32,0.00,1,0,0,Private,Exec-managerial,United-States,47,HS-grad,9,Divorced,Unmarried,White
149411694,NULL,65,179,2.7538,515.10,7.924615,9,17.7255,22,1,0.00,293.52,202.42,19.16,1,1,1,Federal-gov,Craft-repair,United-States,33,HS-grad,9,Married-civ-spouse,Husband,White
149887968,NULL,8,33,4.1250,124.57,15.571250,5,0.6560,0,1,0.00,124.57,0.00,0.00,1,1,1,Private,Machine-op-inspct,United-States,61,9th,5,Married-civ-spouse,Husband,White
